transaction_id,order_id,integration_type,status,error_code,processing_time_ms,retry_count,transaction_date
TXN10041,SO38369,EDI_850,SUCCESS,,3131,0,2024-11-01 09:02:03
TXN10042,SO39925,API_INVOICE,SUCCESS,,2520,0,2024-11-01 09:02:06
TXN10043,SO33325,EDI_850,SUCCESS,,3320,0,2024-11-01 09:02:09
TXN10044,SO33675,EDI_856,PENDING,,4707,2,2024-11-01 09:02:12
TXN10045,SO35653,API_ORDER,SUCCESS,,3236,0,2024-11-01 09:02:15
TXN10046,SO36037,EDI_856,SUCCESS,,2368,0,2024-11-01 09:02:18
TXN10047,SO38042,API_ORDER,SUCCESS,,1557,0,2024-11-01 09:02:21
TXN10048,SO34491,EDI_856,SUCCESS,,3729,0,2024-11-01 09:02:24
TXN10049,SO34203,API_ORDER,FAILED,ERR_INVALID_VALUE,5155,1,2024-11-01 09:02:27
TXN10050,SO38948,API_ORDER,SUCCESS,,5271,0,2024-11-01 09:02:30
TXN10051,SO34454,EDI_850,SUCCESS,,2614,0,2024-11-01 09:02:33
TXN10052,SO32849,API_ORDER,SUCCESS,,2754,0,2024-11-01 09:02:36
TXN10053,SO37760,EDI_856,SUCCESS,,3124,0,2024-11-01 09:02:39
TXN10054,SO38992,API_ORDER,SUCCESS,,967,0,2024-11-01 09:02:42
TXN10055,SO34591,EDI_856,SUCCESS,,1972,0,2024-11-01 09:02:45
TXN10056,SO33652,EDI_856,FAILED,,4954,5,2024-11-01 09:02:48
TXN10057,SO37420,API_ORDER,SUCCESS,,2027,0,2024-11-01 09:02:51
TXN10058,SO35327,EDI_850,SUCCESS,,5368,0,2024-11-01 09:02:54
TXN10059,SO37508,EDI_856,SUCCESS,,3990,0,2024-11-01 09:02:57
TXN10060,SO36449,EDI_850,SUCCESS,,2067,0,2024-11-01 09:03:00
TXN10061,SO32203,API_INVOICE,PENDING,,4486,0,2024-11-01 09:03:03
TXN10062,SO30739,API_INVOICE,SUCCESS,,4108,0,2024-11-01 09:03:06
TXN10063,SO30409,API_INVOICE,SUCCESS,,3327,0,2024-11-01 09:03:09
TXN10064,SO34877,API_INVOICE,SUCCESS,,2486,0,2024-11-01 09:03:12
TXN10065,SO39067,API_INVOICE,SUCCESS,,2188,0,2024-11-01 09:03:15
TXN10066,SO39419,EDI_856,SUCCESS,,3852,0,2024-11-01 09:03:18
TXN10067,SO33987,EDI_850,SUCCESS,,4039,0,2024-11-01 09:03:21
TXN10068,SO36156,EDI_850,SUCCESS,,1221,0,2024-11-01 09:03:24
TXN10069,SO39556,EDI_850,SUCCESS,,5572,0,2024-11-01 09:03:27
TXN10070,SO39618,API_INVOICE,SUCCESS,,3222,0,2024-11-01 09:03:30
TXN10071,SO35334,API_INVOICE,SUCCESS,,4520,0,2024-11-01 09:03:33
TXN10072,SO30764,API_ORDER,SUCCESS,,1822,0,2024-11-01 09:03:36
TXN10073,SO39090,EDI_850,FAILED,,600,4,2024-11-01 09:03:39
TXN10074,SO35476,API_ORDER,SUCCESS,,3714,0,2024-11-01 09:03:42
TXN10075,SO31234,API_ORDER,PENDING,,1348,2,2024-11-01 09:03:45
TXN10076,SO31320,API_INVOICE,PENDING,,5780,5,2024-11-01 09:03:48
TXN10077,SO31614,API_ORDER,FAILED,ERR_TIMEOUT,5886,0,2024-11-01 09:03:51
TXN10078,SO32096,API_INVOICE,FAILED,ERR_INVALID_VALUE,1420,2,2024-11-01 09:03:54
TXN10079,SO36167,API_ORDER,SUCCESS,,2756,0,2024-11-01 09:03:57
TXN10080,SO33872,EDI_856,SUCCESS,,1740,0,2024-11-01 09:04:00
TXN10081,SO35435,API_ORDER,SUCCESS,,4387,0,2024-11-01 09:04:03
TXN10082,SO36943,API_ORDER,SUCCESS,,3582,0,2024-11-01 09:04:06
TXN10083,SO30366,EDI_850,SUCCESS,,2476,0,2024-11-01 09:04:09
TXN10084,SO37289,API_INVOICE,SUCCESS,,925,0,2024-11-01 09:04:12
TXN10085,SO32235,API_INVOICE,FAILED,ERR_TIMEOUT,1171,0,2024-11-01 09:04:15
TXN10086,SO31574,EDI_850,SUCCESS,,2314,0,2024-11-01 09:04:18
TXN10087,SO30858,EDI_850,FAILED,,1520,3,2024-11-01 09:04:21
TXN10088,SO36215,API_INVOICE,SUCCESS,,3908,0,2024-11-01 09:04:24
TXN10089,SO33070,API_INVOICE,SUCCESS,,2310,0,2024-11-01 09:04:27
TXN10090,SO33405,API_ORDER,SUCCESS,,635,0,2024-11-01 09:04:30
TXN10091,SO30635,EDI_856,FAILED,ERR_MISSING_FIELD,502,1,2024-11-01 09:04:33
TXN10092,SO32179,EDI_856,PENDING,,2670,2,2024-11-01 09:04:36
TXN10093,SO39500,API_ORDER,SUCCESS,,5416,0,2024-11-01 09:04:39
TXN10094,SO38431,API_INVOICE,SUCCESS,,4092,0,2024-11-01 09:04:42
TXN10095,SO31436,EDI_850,SUCCESS,,2551,0,2024-11-01 09:04:45
TXN10096,SO34793,EDI_856,SUCCESS,,1194,0,2024-11-01 09:04:48
TXN10097,SO38832,EDI_856,FAILED,ERR_INVALID_VALUE,4289,4,2024-11-01 09:04:51
TXN10098,SO32718,EDI_850,SUCCESS,,1875,0,2024-11-01 09:04:54
TXN10099,SO30335,EDI_850,SUCCESS,,1711,0,2024-11-01 09:04:57
TXN10100,SO39254,EDI_856,SUCCESS,,5312,0,2024-11-01 09:05:00
TXN10101,SO36497,API_INVOICE,FAILED,,1779,1,2024-11-01 09:05:03
TXN10102,SO39658,EDI_850,SUCCESS,,4293,0,2024-11-01 09:05:06
TXN10103,SO35208,EDI_850,SUCCESS,,2677,0,2024-11-01 09:05:09
TXN10104,SO37017,API_INVOICE,SUCCESS,,5821,0,2024-11-01 09:05:12
TXN10105,SO30795,API_ORDER,FAILED,ERR_TIMEOUT,4754,5,2024-11-01 09:05:15
TXN10106,SO32839,API_INVOICE,FAILED,ERR_INVALID_VALUE,2241,0,2024-11-01 09:05:18
TXN10107,SO30823,EDI_850,FAILED,ERR_TIMEOUT,1174,0,2024-11-01 09:05:21
TXN10108,SO33554,EDI_856,SUCCESS,,4716,0,2024-11-01 09:05:24
TXN10109,SO39489,API_ORDER,SUCCESS,,4929,0,2024-11-01 09:05:27
TXN10110,SO30787,API_INVOICE,SUCCESS,,3623,0,2024-11-01 09:05:30
TXN10111,SO38062,EDI_856,SUCCESS,,4766,0,2024-11-01 09:05:33
TXN10112,SO34235,API_ORDER,SUCCESS,,2382,0,2024-11-01 09:05:36
TXN10113,SO30857,API_ORDER,FAILED,,5897,1,2024-11-01 09:05:39
TXN10114,SO35851,EDI_856,SUCCESS,,4784,0,2024-11-01 09:05:42
TXN10115,SO34422,API_INVOICE,FAILED,ERR_INVALID_VALUE,694,3,2024-11-01 09:05:45
TXN10116,SO31829,API_ORDER,SUCCESS,,1892,0,2024-11-01 09:05:48
TXN10117,SO31018,EDI_850,SUCCESS,,5359,0,2024-11-01 09:05:51
TXN10118,SO36161,EDI_850,SUCCESS,,1566,0,2024-11-01 09:05:54
TXN10119,SO39461,API_ORDER,PENDING,,4275,3,2024-11-01 09:05:57
TXN10120,SO34994,API_ORDER,SUCCESS,,3706,0,2024-11-01 09:06:00
TXN10121,SO33427,EDI_856,SUCCESS,,1663,0,2024-11-01 09:06:03
TXN10122,SO30652,API_ORDER,SUCCESS,,4772,0,2024-11-01 09:06:06
TXN10123,SO36048,API_INVOICE,SUCCESS,,5774,0,2024-11-01 09:06:09
TXN10124,SO33419,API_INVOICE,SUCCESS,,2818,0,2024-11-01 09:06:12
TXN10125,SO32909,API_ORDER,SUCCESS,,3442,0,2024-11-01 09:06:15
TXN10126,SO33433,API_ORDER,SUCCESS,,2467,0,2024-11-01 09:06:18
TXN10127,SO36550,API_ORDER,SUCCESS,,3307,0,2024-11-01 09:06:21
TXN10128,SO32213,EDI_850,SUCCESS,,1190,0,2024-11-01 09:06:24
TXN10129,SO32796,API_INVOICE,SUCCESS,,883,0,2024-11-01 09:06:27
TXN10130,SO39332,EDI_856,FAILED,ERR_MISSING_FIELD,5390,4,2024-11-01 09:06:30
TXN10131,SO35476,API_INVOICE,SUCCESS,,5475,0,2024-11-01 09:06:33
TXN10132,SO30809,EDI_850,SUCCESS,,4401,0,2024-11-01 09:06:36
TXN10133,SO37574,EDI_856,SUCCESS,,4856,0,2024-11-01 09:06:39
TXN10134,SO39895,API_ORDER,SUCCESS,,5591,0,2024-11-01 09:06:42
TXN10135,SO32820,API_ORDER,SUCCESS,,4121,0,2024-11-01 09:06:45
TXN10136,SO31779,EDI_850,SUCCESS,,1142,0,2024-11-01 09:06:48
TXN10137,SO36660,EDI_850,SUCCESS,,597,0,2024-11-01 09:06:51
TXN10138,SO31834,EDI_850,FAILED,ERR_MISSING_FIELD,3629,3,2024-11-01 09:06:54
TXN10139,SO38251,API_ORDER,SUCCESS,,1914,0,2024-11-01 09:06:57
TXN10140,SO34064,EDI_850,SUCCESS,,3349,0,2024-11-01 09:07:00
TXN10141,SO32072,EDI_856,SUCCESS,,2104,0,2024-11-01 09:07:03
TXN10142,SO32282,API_INVOICE,SUCCESS,,500,0,2024-11-01 09:07:06
TXN10143,SO32987,EDI_856,SUCCESS,,636,0,2024-11-01 09:07:09
TXN10144,SO32059,EDI_850,SUCCESS,,5422,0,2024-11-01 09:07:12
TXN10145,SO37984,API_INVOICE,SUCCESS,,1435,0,2024-11-01 09:07:15
TXN10146,SO34679,EDI_856,SUCCESS,,3414,0,2024-11-01 09:07:18
TXN10147,SO37599,EDI_856,SUCCESS,,4297,0,2024-11-01 09:07:21
TXN10148,SO35424,API_INVOICE,SUCCESS,,5689,0,2024-11-01 09:07:24
TXN10149,SO31505,EDI_856,SUCCESS,,1184,0,2024-11-01 09:07:27
TXN10150,SO38685,API_INVOICE,SUCCESS,,4317,0,2024-11-01 09:07:30
TXN10151,SO37864,API_INVOICE,SUCCESS,,1532,0,2024-11-01 09:07:33
TXN10152,SO32386,EDI_856,SUCCESS,,1673,0,2024-11-01 09:07:36
TXN10153,SO32593,API_INVOICE,SUCCESS,,711,0,2024-11-01 09:07:39
TXN10154,SO38151,EDI_850,SUCCESS,,3812,0,2024-11-01 09:07:42
TXN10155,SO31154,API_ORDER,SUCCESS,,4961,0,2024-11-01 09:07:45
TXN10156,SO39596,EDI_856,FAILED,ERR_MISSING_FIELD,1341,5,2024-11-01 09:07:48
TXN10157,SO35904,API_ORDER,SUCCESS,,947,0,2024-11-01 09:07:51
TXN10158,SO33066,API_INVOICE,SUCCESS,,5568,0,2024-11-01 09:07:54
TXN10159,SO31199,API_INVOICE,SUCCESS,,5461,0,2024-11-01 09:07:57
TXN10160,SO31198,API_ORDER,PENDING,,4700,3,2024-11-01 09:08:00
TXN10161,SO33015,API_ORDER,SUCCESS,,4345,0,2024-11-01 09:08:03
TXN10162,SO39874,EDI_856,SUCCESS,,2969,0,2024-11-01 09:08:06
TXN10163,SO36037,EDI_856,SUCCESS,,5764,0,2024-11-01 09:08:09
TXN10164,SO33857,EDI_850,SUCCESS,,4850,0,2024-11-01 09:08:12
TXN10165,SO30842,EDI_856,SUCCESS,,5520,0,2024-11-01 09:08:15
TXN10166,SO39912,API_INVOICE,SUCCESS,,4757,0,2024-11-01 09:08:18
TXN10167,SO35216,EDI_850,SUCCESS,,1946,0,2024-11-01 09:08:21
TXN10168,SO38627,API_ORDER,SUCCESS,,5606,0,2024-11-01 09:08:24
TXN10169,SO36329,EDI_856,SUCCESS,,3994,0,2024-11-01 09:08:27
TXN10170,SO38254,EDI_856,SUCCESS,,2614,0,2024-11-01 09:08:30
TXN10171,SO35077,EDI_856,SUCCESS,,556,0,2024-11-01 09:08:33
TXN10172,SO39393,EDI_850,SUCCESS,,3851,0,2024-11-01 09:08:36
TXN10173,SO34067,API_ORDER,SUCCESS,,2725,0,2024-11-01 09:08:39
TXN10174,SO30003,API_INVOICE,SUCCESS,,833,0,2024-11-01 09:08:42
TXN10175,SO36053,API_INVOICE,SUCCESS,,5796,0,2024-11-01 09:08:45
TXN10176,SO33306,EDI_850,SUCCESS,,5914,0,2024-11-01 09:08:48
TXN10177,SO36772,EDI_850,FAILED,ERR_MISSING_FIELD,2701,2,2024-11-01 09:08:51
TXN10178,SO36992,API_INVOICE,SUCCESS,,3476,0,2024-11-01 09:08:54
TXN10179,SO38112,EDI_850,SUCCESS,,2034,0,2024-11-01 09:08:57
TXN10180,SO33127,API_INVOICE,SUCCESS,,5897,0,2024-11-01 09:09:00
TXN10181,SO34253,EDI_856,SUCCESS,,3605,0,2024-11-01 09:09:03
TXN10182,SO34028,EDI_850,SUCCESS,,3672,0,2024-11-01 09:09:06
TXN10183,SO33615,API_INVOICE,SUCCESS,,4016,0,2024-11-01 09:09:09
TXN10184,SO34862,API_INVOICE,SUCCESS,,2119,0,2024-11-01 09:09:12
TXN10185,SO39882,EDI_856,SUCCESS,,2634,0,2024-11-01 09:09:15
TXN10186,SO34133,EDI_850,SUCCESS,,1637,0,2024-11-01 09:09:18
TXN10187,SO33023,API_INVOICE,SUCCESS,,1048,0,2024-11-01 09:09:21
TXN10188,SO38883,API_INVOICE,SUCCESS,,2953,0,2024-11-01 09:09:24
TXN10189,SO32260,API_INVOICE,SUCCESS,,2257,0,2024-11-01 09:09:27
TXN10190,SO30296,API_INVOICE,SUCCESS,,3619,0,2024-11-01 09:09:30
TXN10191,SO37780,API_INVOICE,SUCCESS,,1327,0,2024-11-01 09:09:33
TXN10192,SO33893,API_INVOICE,FAILED,,1926,4,2024-11-01 09:09:36
TXN10193,SO39781,EDI_856,FAILED,ERR_TIMEOUT,1891,4,2024-11-01 09:09:39
TXN10194,SO39431,API_ORDER,SUCCESS,,4146,0,2024-11-01 09:09:42
TXN10195,SO33738,EDI_850,SUCCESS,,651,0,2024-11-01 09:09:45
TXN10196,SO31770,EDI_856,SUCCESS,,1640,0,2024-11-01 09:09:48
TXN10197,SO39458,EDI_850,SUCCESS,,1430,0,2024-11-01 09:09:51
TXN10198,SO36402,API_INVOICE,PENDING,,1244,1,2024-11-01 09:09:54
TXN10199,SO30683,EDI_850,SUCCESS,,2752,0,2024-11-01 09:09:57
TXN10200,SO33527,API_INVOICE,SUCCESS,,3730,0,2024-11-01 09:10:00
TXN10201,SO38508,API_INVOICE,PENDING,,4898,4,2024-11-01 09:10:03
TXN10202,SO32867,EDI_850,SUCCESS,,2020,0,2024-11-01 09:10:06
TXN10203,SO39014,API_INVOICE,SUCCESS,,3830,0,2024-11-01 09:10:09
TXN10204,SO34175,EDI_856,SUCCESS,,5501,0,2024-11-01 09:10:12
TXN10205,SO31272,API_INVOICE,FAILED,,1941,1,2024-11-01 09:10:15
TXN10206,SO38818,EDI_850,SUCCESS,,5488,0,2024-11-01 09:10:18
TXN10207,SO31344,EDI_856,SUCCESS,,3277,0,2024-11-01 09:10:21
TXN10208,SO32157,API_ORDER,FAILED,ERR_TIMEOUT,2796,5,2024-11-01 09:10:24
TXN10209,SO33073,EDI_856,PENDING,,4347,3,2024-11-01 09:10:27
TXN10210,SO31558,API_INVOICE,SUCCESS,,4610,0,2024-11-01 09:10:30
TXN10211,SO38712,EDI_856,SUCCESS,,3554,0,2024-11-01 09:10:33
TXN10212,SO36258,API_ORDER,SUCCESS,,1104,0,2024-11-01 09:10:36
TXN10213,SO35088,EDI_856,SUCCESS,,5544,0,2024-11-01 09:10:39
TXN10214,SO37991,EDI_856,FAILED,ERR_MISSING_FIELD,1944,1,2024-11-01 09:10:42
TXN10215,SO34464,API_ORDER,SUCCESS,,3922,0,2024-11-01 09:10:45
TXN10216,SO32660,EDI_856,SUCCESS,,2848,0,2024-11-01 09:10:48
TXN10217,SO35323,API_ORDER,SUCCESS,,4791,0,2024-11-01 09:10:51
TXN10218,SO32908,EDI_856,SUCCESS,,5523,0,2024-11-01 09:10:54
TXN10219,SO39028,API_INVOICE,FAILED,ERR_TIMEOUT,2301,5,2024-11-01 09:10:57
TXN10220,SO32478,API_ORDER,SUCCESS,,3571,0,2024-11-01 09:11:00
TXN10221,SO33359,EDI_856,SUCCESS,,1412,0,2024-11-01 09:11:03
TXN10222,SO33289,API_INVOICE,SUCCESS,,3888,0,2024-11-01 09:11:06
TXN10223,SO34388,EDI_856,SUCCESS,,5914,0,2024-11-01 09:11:09
TXN10224,SO32205,API_INVOICE,SUCCESS,,4729,0,2024-11-01 09:11:12
TXN10225,SO35298,API_ORDER,SUCCESS,,2347,0,2024-11-01 09:11:15
TXN10226,SO35226,EDI_850,SUCCESS,,5529,0,2024-11-01 09:11:18
TXN10227,SO32799,API_ORDER,SUCCESS,,5577,0,2024-11-01 09:11:21
TXN10228,SO33620,API_ORDER,SUCCESS,,5440,0,2024-11-01 09:11:24
TXN10229,SO39077,EDI_856,SUCCESS,,5920,0,2024-11-01 09:11:27
TXN10230,SO30099,EDI_856,SUCCESS,,3591,0,2024-11-01 09:11:30
TXN10231,SO31845,EDI_850,SUCCESS,,2492,0,2024-11-01 09:11:33
TXN10232,SO30975,API_INVOICE,SUCCESS,,1636,0,2024-11-01 09:11:36
TXN10233,SO34331,EDI_850,SUCCESS,,2284,0,2024-11-01 09:11:39
TXN10234,SO35622,EDI_856,SUCCESS,,2618,0,2024-11-01 09:11:42
TXN10235,SO33352,API_ORDER,SUCCESS,,3982,0,2024-11-01 09:11:45
TXN10236,SO31723,EDI_856,SUCCESS,,3213,0,2024-11-01 09:11:48
TXN10237,SO36027,EDI_856,SUCCESS,,2614,0,2024-11-01 09:11:51
TXN10238,SO31815,API_INVOICE,SUCCESS,,5259,0,2024-11-01 09:11:54
TXN10239,SO38358,API_ORDER,SUCCESS,,3718,0,2024-11-01 09:11:57
TXN10240,SO30911,API_INVOICE,SUCCESS,,556,0,2024-11-01 09:12:00
TXN10241,SO30912,EDI_856,FAILED,ERR_TIMEOUT,4437,2,2024-11-01 09:12:03
TXN10242,SO31736,API_ORDER,SUCCESS,,2214,0,2024-11-01 09:12:06
TXN10243,SO32029,EDI_856,SUCCESS,,4677,0,2024-11-01 09:12:09
TXN10244,SO39449,API_ORDER,SUCCESS,,5067,0,2024-11-01 09:12:12
TXN10245,SO34726,EDI_856,SUCCESS,,522,0,2024-11-01 09:12:15
TXN10246,SO30506,API_ORDER,SUCCESS,,634,0,2024-11-01 09:12:18
TXN10247,SO33299,API_ORDER,SUCCESS,,5862,0,2024-11-01 09:12:21
TXN10248,SO31890,EDI_850,SUCCESS,,1264,0,2024-11-01 09:12:24
TXN10249,SO38352,API_ORDER,SUCCESS,,4759,0,2024-11-01 09:12:27
TXN10250,SO32570,API_ORDER,SUCCESS,,1343,0,2024-11-01 09:12:30
TXN10251,SO32821,EDI_850,SUCCESS,,552,0,2024-11-01 09:12:33
TXN10252,SO34358,EDI_856,SUCCESS,,2090,0,2024-11-01 09:12:36
TXN10253,SO36913,API_INVOICE,SUCCESS,,5933,0,2024-11-01 09:12:39
TXN10254,SO39815,EDI_850,PENDING,,4794,5,2024-11-01 09:12:42
TXN10255,SO31065,API_ORDER,PENDING,,798,2,2024-11-01 09:12:45
TXN10256,SO30901,EDI_850,PENDING,,5654,3,2024-11-01 09:12:48
TXN10257,SO31371,EDI_856,SUCCESS,,5826,0,2024-11-01 09:12:51
TXN10258,SO31842,API_ORDER,SUCCESS,,1280,0,2024-11-01 09:12:54
TXN10259,SO37093,EDI_856,SUCCESS,,817,0,2024-11-01 09:12:57
TXN10260,SO32402,EDI_850,FAILED,ERR_TIMEOUT,1212,4,2024-11-01 09:13:00
TXN10261,SO35708,EDI_850,FAILED,ERR_MISSING_FIELD,5279,3,2024-11-01 09:13:03
TXN10262,SO34777,API_INVOICE,FAILED,ERR_MISSING_FIELD,4455,1,2024-11-01 09:13:06
TXN10263,SO39427,EDI_850,SUCCESS,,2406,0,2024-11-01 09:13:09
TXN10264,SO39874,EDI_850,PENDING,,2253,0,2024-11-01 09:13:12
TXN10265,SO35439,API_INVOICE,SUCCESS,,4552,0,2024-11-01 09:13:15
TXN10266,SO37749,API_INVOICE,SUCCESS,,1028,0,2024-11-01 09:13:18
TXN10267,SO30413,EDI_856,SUCCESS,,982,0,2024-11-01 09:13:21
TXN10268,SO38966,API_INVOICE,SUCCESS,,3860,0,2024-11-01 09:13:24
TXN10269,SO30189,API_ORDER,SUCCESS,,1872,0,2024-11-01 09:13:27
TXN10270,SO30499,EDI_850,FAILED,,946,1,2024-11-01 09:13:30
TXN10271,SO35626,API_ORDER,SUCCESS,,4447,0,2024-11-01 09:13:33
TXN10272,SO32893,API_INVOICE,FAILED,ERR_TIMEOUT,3581,4,2024-11-01 09:13:36
TXN10273,SO38642,API_INVOICE,SUCCESS,,3014,0,2024-11-01 09:13:39
TXN10274,SO30942,EDI_856,SUCCESS,,2388,0,2024-11-01 09:13:42
TXN10275,SO34517,EDI_856,SUCCESS,,4889,0,2024-11-01 09:13:45
TXN10276,SO37846,API_INVOICE,SUCCESS,,1088,0,2024-11-01 09:13:48
TXN10277,SO38577,EDI_850,SUCCESS,,5299,0,2024-11-01 09:13:51
TXN10278,SO35223,EDI_856,SUCCESS,,5943,0,2024-11-01 09:13:54
TXN10279,SO37935,API_ORDER,SUCCESS,,4497,0,2024-11-01 09:13:57
TXN10280,SO38385,API_INVOICE,SUCCESS,,1757,0,2024-11-01 09:14:00
TXN10281,SO35532,EDI_850,SUCCESS,,5654,0,2024-11-01 09:14:03
TXN10282,SO36143,EDI_850,SUCCESS,,4839,0,2024-11-01 09:14:06
TXN10283,SO39402,API_INVOICE,SUCCESS,,2108,0,2024-11-01 09:14:09
TXN10284,SO32422,API_INVOICE,SUCCESS,,5146,0,2024-11-01 09:14:12
TXN10285,SO37779,EDI_850,SUCCESS,,1685,0,2024-11-01 09:14:15
TXN10286,SO39957,API_ORDER,SUCCESS,,5075,0,2024-11-01 09:14:18
TXN10287,SO33230,API_ORDER,FAILED,ERR_MISSING_FIELD,2215,3,2024-11-01 09:14:21
TXN10288,SO35109,EDI_856,FAILED,ERR_MISSING_FIELD,1995,0,2024-11-01 09:14:24
TXN10289,SO39737,EDI_856,SUCCESS,,4368,0,2024-11-01 09:14:27
TXN10290,SO32504,API_ORDER,SUCCESS,,2763,0,2024-11-01 09:14:30
TXN10291,SO35229,API_INVOICE,SUCCESS,,1247,0,2024-11-01 09:14:33
TXN10292,SO38537,EDI_850,SUCCESS,,4005,0,2024-11-01 09:14:36
TXN10293,SO33502,API_INVOICE,SUCCESS,,2489,0,2024-11-01 09:14:39
TXN10294,SO31669,EDI_850,SUCCESS,,3010,0,2024-11-01 09:14:42
TXN10295,SO31648,API_INVOICE,SUCCESS,,5942,0,2024-11-01 09:14:45
TXN10296,SO38410,API_ORDER,SUCCESS,,3363,0,2024-11-01 09:14:48
TXN10297,SO39417,API_ORDER,SUCCESS,,4595,0,2024-11-01 09:14:51
TXN10298,SO34900,API_INVOICE,SUCCESS,,5178,0,2024-11-01 09:14:54
TXN10299,SO36715,API_ORDER,FAILED,ERR_INVALID_VALUE,4712,3,2024-11-01 09:14:57
TXN10300,SO37050,API_ORDER,FAILED,ERR_TIMEOUT,602,1,2024-11-01 09:15:00
TXN10301,SO32072,EDI_856,SUCCESS,,3394,0,2024-11-01 09:15:03
TXN10302,SO38847,API_ORDER,SUCCESS,,3965,0,2024-11-01 09:15:06
TXN10303,SO35162,API_ORDER,SUCCESS,,5456,0,2024-11-01 09:15:09
TXN10304,SO38529,EDI_856,SUCCESS,,1912,0,2024-11-01 09:15:12
TXN10305,SO30582,EDI_850,SUCCESS,,4195,0,2024-11-01 09:15:15
TXN10306,SO33775,EDI_850,SUCCESS,,623,0,2024-11-01 09:15:18
TXN10307,SO35784,EDI_850,SUCCESS,,1694,0,2024-11-01 09:15:21
TXN10308,SO37241,EDI_856,SUCCESS,,5847,0,2024-11-01 09:15:24
TXN10309,SO30196,API_ORDER,SUCCESS,,5240,0,2024-11-01 09:15:27
TXN10310,SO39873,API_INVOICE,FAILED,ERR_INVALID_VALUE,2110,1,2024-11-01 09:15:30
TXN10311,SO34978,EDI_850,SUCCESS,,2730,0,2024-11-01 09:15:33
